class_id,class_name,support,predicted,precision,recall,f1
0,Pick up kettle,0,13,0.0,0.0,0.0
1,Position kettle to pour,0,13,0.0,0.0,0.0
2,Move kettle,0,7,0.0,0.0,0.0
3,Hold coffee carafe,0,16,0.0,0.0,0.0
4,Grasp coffee scoop,0,2,0.0,0.0,0.0
5,Transfer coffee to dripper,0,14,0.0,0.0,0.0
6,Hold gooseneck kettle,0,78,0.0,0.0,0.0
7,Grasp gooseneck kettle,0,10,0.0,0.0,0.0
8,Lift gooseneck kettle,0,0,0.0,0.0,0.0
9,Move kettle away,0,5,0.0,0.0,0.0
10,Place kettle on table,0,31,0.0,0.0,0.0
11,Pick up white bottle,0,29,0.0,0.0,0.0
12,Pour liquid from white bottle,0,108,0.0,0.0,0.0
13,Close bottle cap,64,17,0.17647058823529413,0.046875,0.07407407407407407
14,Place item on table,23,0,0.0,0.0,0.0
15,Wait/Prepare for pouring,95,0,0.0,0.0,0.0
16,Pour coffee,159,0,0.0,0.0,0.0
17,Pour milk into coffee,2,0,0.0,0.0,0.0
